95.4,369,39.2,78.9,16.8,4872
1.3,47.5,34.6,100.1,10.9,207
58.3,539,37.9,96.4,14,9061
56.9,231,38.3,77.6,17.2,3729
246.1,2400,36.8,111.6,12.8,26562
50.8,340,36.9,107.9,9.6,4976
742.6,190,41,117.3,10.4,6099
475.1,58.8,40.7,102.6,12.5,930
364.6,1350,42.2,85.6,13.6,21889
173.7,662,36.9,84.2,14.3,10612
218.6,21.9,39.2,106,8.8,287
19.5,142,36.6,91.7,11.8,1451
232,978,38.3,103.9,12.1,18217
183.4,526,37.9,87.1,13.1,8410
55.3,284,38.2,86.5,11.2,3946
35.4,230,36.9,96.7,12,2879
111.3,276,38.9,87.4,16.9,2999
107.1,315,37.2,78.1,18.6,7488
43.1,25.2,44.9,84.3,11.6,358
610.8,283,38.8,125.1,9,5967
858,384,39.4,127.4,10,12502
175,536,39.8,92.1,14.1,13296
68.1,418,38.1,104.2,9.6,5436
63.7,220,37.7,65.6,19.7,4840
87.9,424,38.7,83.4,13.2,5910
7,82,39.9,81.6,13,971
24.3,169,36.6,93.9,11,1694
25.4,230,38.1,92.5,12.9,3158
147.8,45.2,43,114.7,7.6,769
1210.1,490,40,119.3,9.5,19187
17.2,145,38.1,71.5,19.5,2536
417,1000,39,105.6,13.6,37854
202.6,560,38.9,84.7,14,6933
10.5,92.9,35.2,90.6,10.7,1317
283.2,715,39.4,90.4,13.9,9017
56.1,296,36.7,85,15.6,2527
40.9,116,39.4,107.8,12.6,1503
285.5,662,40.8,99.7,12.2,16270
1017.1,87.9,40.1,99,12.9,1777
158.8,313,39.6,83.6,15.3,5385
11.1,99.8,37.1,83.6,13.1,1501
157.7,589,38.8,81.9,15.3,6908
101.2,1790,34.8,98.4,14.9,28508
35.3,282,31,112.8,9,1294
68,7.7,42.8,95.7,11,139
209.2,359,38.4,114.1,10.7,5117
104.9,253,42.7,110.7,10.3,3524
77.1,89.3,42.7,72.9,17.8,1373
106,524,39.6,90.7,11,5259
6,44.5,38,84.5,11.1,438
